Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C105, C106, C107, C108, C109, C110, C12, C18, C24, C3, C30, C36, C6, C75, C78, C79, C80, C81, C85, C87, C90, C93, C95",603,24,10uF-25V,C96446
"C10, C14, C16, C20, C22, C26, C28, C32, C34, C38, C40, C8",603,12,470nF,C1623
"C100, C101, C102, C103, C104, C111, C15, C21, C23, C27, C29, C33, C39, C66, C69, C70, C74, C76, C84, C86, C88, C89, C9, C91, C92, C94, C96, C97, C98, C99",603,30,100nF,C14663
"C11, C13, C17, C19, C2, C25, C31, C35, C37, C4, C41, C42, C43, C44, C45, C46, C47, C48, C5, C50, C51, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C7, C71, C72, C73, C82, C83",1210,40,10uF-100v,C576517
"C49, C52",603,2,15pF,C1644
"C67, C68, C77",603,3,47pF,C1671
D1,TO-277A,1,SB10100L,C113946
"D10, D4",D_SOD-123,2,PMEG10010ELRX,C179426
"D11, D12, D13, D14, D15, D16, D17, D18, D9",D_SOD-923,9,ESD9B3.3ST5G,C96512
"D19, D2, D20, D21, D24, D3",D_SOD-923,6,ESD9B5.0ST5G,C3021104
D22,D_SMA,1,SMAJ90A,C2989723
D23,D_SMA,1,SMAJ60A,C707480
"D5, D6",805,2,Yellow LED,C2296
"D7, D8",805,2,Green LED,C2297
"GD1, GD2",1812,2,90V-2kA,C78323
L7,L_Wuerth_HCI-1040,1,22uH,C182173
L8,L_Changjiang_FNR6045S,1,1.5mH,C168103
"Q1, Q26, Q28, Q29, Q30, Q31, Q32, Q33, Q34",SOT-23,9,BSS138,C5224260
"R100, R101, R121, R122, R123, R124, R126, R128, R3, R41, R42, R49, R83, R94, R97",603,15,100,C22775
"R102, R103, R104, R105",603,4,510,C23193
"R107, R108, R113, R114, R116, R117, R118, R120, R60, R87, R88, R91, R93",603,13,100k,C25803
"R11, R15, R19, R23, R24, R27, R65, R67, R7, R70, R73, R76",603,12,6.2k,C4260
"R12, R16, R20, R4, R54, R56, R62, R63, R68, R71, R74, R8",603,12,0,C21189
R130,Shunt_5930,1,0.2m,C22446543
"R131, R90, R92",603,3,5.1k,C23186
R28,603,1,22k,C31850
R30,603,1,30k,C22984
"R31, R35, R78, R81",805,4,470k,C17709
"R32, R82",603,2,15k,C22809
"R33, R39",805,2,787k,C2933500
R34,805,1,120k,C17436
R47,603,1,3k,C4211
"R52, R57",603,2,68k,C23231
"R53, R55",1206,2,100k,C17900
R58,603,1,510k,C23192
R59,603,1,7.5k,C23234
R79,603,1,27k,C22967
"R98, R99",603,2,22,C23345
U15,SOT-23-5,1,INA180A4,C188337
